r,t,y,NewCapacity
REGION1,DEMCOMNGS,2034,96.596
REGION1,DEMCOMNGS,2035,97.3131
REGION1,DEMCOMNGS,2036,97.9293
REGION1,DEMCOMNGS,2037,98.4242
REGION1,DEMCOMNGS,2038,98.9192
REGION1,DEMCOMNGS,2039,99.4141
REGION1,DEMCOMNGS,2040,99.9192
REGION1,DEMCOMNGS,2041,103.2687
REGION1,DEMCOMNGS,2042,104.305
REGION1,DEMCOMNGS,2043,105.3414
REGION1,DEMCOMNGS,2044,106.3768
REGION1,DEMCOMNGS,2045,107.4131
REGION1,DEMCOMNGS,2046,108.4485
REGION1,DEMCOMNGS,2047,109.4848
REGION1,DEMCOMNGS,2048,110.5202
REGION1,DEMCOMNGS,2049,111.5566
REGION1,DEMCOMNGS,2050,112.5929
REGION1,DEMINDBIO,2020,161.6566
REGION1,DEMINDBIO,2021,162.3131
REGION1,DEMINDBIO,2022,162.7475
REGION1,DEMINDBIO,2023,163.4646
REGION1,DEMINDBIO,2024,164.2828
REGION1,DEMINDBIO,2025,163.7778
REGION1,DEMINDBIO,2026,163.5556
REGION1,DEMINDBIO,2027,163.4546
REGION1,DEMINDBIO,2028,163.3131
REGION1,DEMINDBIO,2029,162.7071
REGION1,DEMINDBIO,2030,161.9293
REGION1,DEMINDBIO,2031,160.9293
REGION1,DEMINDBIO,2032,159.7778
REGION1,DEMINDBIO,2033,158.4848
REGION1,DEMINDBIO,2034,156.9596
REGION1,DEMINDBIO,2035,155.6566
REGION1,DEMINDBIO,2036,154.3232
REGION1,DEMINDBIO,2037,153.0
REGION1,DEMINDBIO,2038,151.7273
REGION1,DEMINDBIO,2039,150.5252
REGION1,DEMINDBIO,2040,149.3636
REGION1,DEMINDBIO,2041,148.8606
REGION1,DEMINDBIO,2042,147.7546
REGION1,DEMINDBIO,2043,146.6475
REGION1,DEMINDBIO,2044,145.5404
REGION1,DEMINDBIO,2045,144.4343
REGION1,DEMINDBIO,2046,143.3273
REGION1,DEMINDBIO,2047,142.2212
REGION1,DEMINDBIO,2048,141.1141
REGION1,DEMINDBIO,2049,140.0081
REGION1,DEMINDBIO,2050,138.901
REGION1,DEMINDDSL,2020,109.5556
REGION1,DEMINDDSL,2021,109.2222
REGION1,DEMINDDSL,2022,108.4646
REGION1,DEMINDDSL,2023,108.0303
REGION1,DEMINDDSL,2024,108.4141
REGION1,DEMINDDSL,2025,109.2424
REGION1,DEMINDDSL,2026,110.5556
REGION1,DEMINDDSL,2027,111.7475
REGION1,DEMINDDSL,2028,112.3939
REGION1,DEMINDDSL,2029,112.4141
REGION1,DEMINDDSL,2030,112.505
REGION1,DEMINDDSL,2031,112.7778
REGION1,DEMINDDSL,2032,113.2525
REGION1,DEMINDDSL,2033,113.3838
REGION1,DEMINDDSL,2034,113.4444
REGION1,DEMINDDSL,2035,113.5758
REGION1,DEMINDDSL,2036,113.798
REGION1,DEMINDDSL,2037,114.1616
REGION1,DEMINDDSL,2038,114.6768
REGION1,DEMINDDSL,2039,115.3434
REGION1,DEMINDDSL,2040,116.1313
REGION1,DEMINDDSL,2041,115.7636
REGION1,DEMINDDSL,2042,116.0657
REGION1,DEMINDDSL,2043,116.3687
REGION1,DEMINDDSL,2044,116.6707
REGION1,DEMINDDSL,2045,116.9727
REGION1,DEMINDDSL,2046,117.2758
REGION1,DEMINDDSL,2047,117.5778
REGION1,DEMINDDSL,2048,117.8808
REGION1,DEMINDDSL,2049,118.1828
REGION1,DEMINDDSL,2050,118.4848
REGION1,DEMINDELCB02,2020,146.0911
REGION1,DEMINDELCB02,2021,146.4667
REGION1,DEMINDELCB02,2022,147.0011
REGION1,DEMINDELCB02,2023,147.8389
REGION1,DEMINDELCB02,2024,150.3378
REGION1,DEMINDELCB02,2025,153.3856
REGION1,DEMINDELCB02,2026,158.3256
REGION1,DEMINDELCB02,2027,158.2678
REGION1,DEMINDELCB02,2028,157.6033
REGION1,DEMINDELCB02,2029,156.7222
REGION1,DEMINDELCB02,2030,158.34
REGION1,DEMINDELCB02,2031,160.8822
REGION1,DEMINDELCB02,2032,163.1644
REGION1,DEMINDELCB02,2033,162.37
REGION1,DEMINDELCB02,2034,160.7811
REGION1,DEMINDELCB02,2035,159.4378
REGION1,DEMINDELCB02,2036,158.2389
REGION1,DEMINDELCB02,2037,157.1989
REGION1,DEMINDELCB02,2038,156.4911
REGION1,DEMINDELCB02,2039,155.7978
REGION1,DEMINDELCB02,2040,155.1044
REGION1,DEMINDELCB02,2041,155.1044
REGION1,DEMINDELCB02,2042,154.4732
REGION1,DEMINDELCB02,2043,153.8434
REGION1,DEMINDELCB02,2044,153.2122
REGION1,DEMINDELCB02,2045,152.581
REGION1,DEMINDELCB02,2046,151.9498
REGION1,DEMINDELCB02,2047,151.3186
REGION1,DEMINDELCB02,2048,150.6873
REGION1,DEMINDELCB02,2049,150.0561
REGION1,DEMINDELCB02,2050,149.4249
REGION1,DEMINDNGS,2020,227.1313
REGION1,DEMINDNGS,2021,221.5354
REGION1,DEMINDNGS,2022,216.0808
REGION1,DEMINDNGS,2023,213.7677
REGION1,DEMINDNGS,2024,223.5758
REGION1,DEMINDNGS,2025,245.2828
REGION1,DEMINDNGS,2026,277.9091
REGION1,DEMINDNGS,2027,286.0303
REGION1,DEMINDNGS,2028,287.4848
REGION1,DEMINDNGS,2029,289.4546
REGION1,DEMINDNGS,2030,307.7778
REGION1,DEMINDNGS,2031,333.798
REGION1,DEMINDNGS,2032,350.0303
REGION1,DEMINDNGS,2033,348.8182
REGION1,DEMINDNGS,2034,347.9293
REGION1,DEMINDNGS,2035,348.0909
REGION1,DEMINDNGS,2036,348.0707
REGION1,DEMINDNGS,2037,347.7172
REGION1,DEMINDNGS,2038,347.7071
REGION1,DEMINDNGS,2039,347.9697
REGION1,DEMINDNGS,2040,348.303
REGION1,DEMINDNGS,2041,371.9747
REGION1,DEMINDNGS,2042,377.496
REGION1,DEMINDNGS,2043,383.0172
REGION1,DEMINDNGS,2044,388.5384
REGION1,DEMINDNGS,2045,394.0596
REGION1,DEMINDNGS,2046,399.5808
REGION1,DEMINDNGS,2047,405.102
REGION1,DEMINDNGS,2048,410.6232
REGION1,DEMINDNGS,2049,416.1444
REGION1,DEMINDNGS,2050,421.6657
REGION1,DEMPUBSURBC1,2020,0.8586
REGION1,DEMPUBSURBC1,2021,0.8687
REGION1,DEMPUBSURBC1,2022,0.8687
REGION1,DEMPUBSURBC1,2023,0.8788
REGION1,DEMPUBSURBC1,2024,0.8889
REGION1,DEMPUBSURBC1,2025,0.899
REGION1,DEMPUBSURBC1,2026,0.9091
REGION1,DEMPUBSURBC1,2027,0.9192
REGION1,DEMPUBSURBC1,2028,0.9293
REGION1,DEMPUBSURBC1,2029,0.9394
REGION1,DEMPUBSURBC1,2030,0.9495
REGION1,DEMPUBSURBC1,2031,0.9596
REGION1,DEMPUBSURBC1,2032,0.9697
REGION1,DEMPUBSURBC1,2033,0.9899
REGION1,DEMPUBSURBC1,2034,1.0
REGION1,DEMPUBSURBC1,2035,1.0101
REGION1,DEMPUBSURBC1,2036,1.0202
REGION1,DEMPUBSURBC1,2037,1.0303
REGION1,DEMPUBSURBC1,2038,1.0404
REGION1,DEMPUBSURBC1,2039,1.0505
REGION1,DEMPUBSURBC1,2040,1.0606
REGION1,DEMPUBSURBC1,2041,1.0707
REGION1,DEMPUBSURBC1,2042,1.0909
REGION1,DEMPUBSURBC1,2043,1.101
REGION1,DEMPUBSURBC1,2044,1.1111
REGION1,DEMPUBSURBC1,2045,1.1212
REGION1,DEMPUBSURBC1,2046,1.1313
REGION1,DEMPUBSURBC1,2047,1.1515
REGION1,DEMPUBSURBC1,2048,1.1616
REGION1,DEMPUBSURBC1,2049,1.1717
REGION1,DEMPUBSURBC1,2050,1.1818
REGION1,DEMPWRBIO,2020,37.2722
REGION1,DEMPWRBIO,2021,37.2722
REGION1,DEMPWRBIO,2022,37.2722
REGION1,DEMPWRBIO,2023,37.2722
REGION1,DEMPWRBIO,2024,37.2722
REGION1,DEMPWRBIO,2025,24.3888
REGION1,DEMPWRBIO,2026,37.2722
REGION1,DEMPWRBIO,2027,37.2722
REGION1,DEMPWRHYD,2020,331.5421
REGION1,DEMPWRHYD,2021,333.3594
REGION1,DEMPWRHYD,2022,335.1211
REGION1,DEMPWRHYD,2023,337.0296
REGION1,DEMPWRHYD,2024,339.3987
REGION1,DEMPWRHYD,2025,354.4976
REGION1,DEMPWRHYD,2026,358.4691
REGION1,DEMPWRHYD,2027,360.3072
REGION1,DEMPWRHYD,2028,361.5969
REGION1,DEMPWRHYD,2029,362.8443
REGION1,DEMPWRHYD,2030,365.1887
REGION1,DEMPWRHYD,2031,367.7861
REGION1,DEMPWRHYD,2032,370.3594
REGION1,DEMPWRHYD,2033,371.9263
REGION1,DEMPWRHYD,2034,372.8182
REGION1,DEMPWRHYD,2035,373.7055
REGION1,DEMPWRHYD,2036,374.8385
REGION1,DEMPWRHYD,2037,375.8394
REGION1,DEMPWRHYD,2038,377.1006
REGION1,DEMPWRHYD,2039,379.3171
REGION1,DEMPWRHYD,2040,380.9261
REGION1,DEMPWRHYD,2041,382.3233
REGION1,DEMPWRHYD,2042,383.7667
REGION1,DEMPWRHYD,2043,384.6983
REGION1,DEMPWRHYD,2044,386.1399
REGION1,DEMPWRHYD,2045,387.53
REGION1,DEMPWRHYD,2046,388.9721
REGION1,DEMPWRHYD,2047,390.4149
REGION1,DEMPWRHYD,2048,391.857
REGION1,DEMPWRHYD,2049,393.2998
REGION1,DEMPWRHYD,2050,394.7419
REGION1,DEMPWRSOL,2020,0.0403
REGION1,DEMPWRSOL,2021,0.0403
REGION1,DEMPWRSOL,2022,0.0403
REGION1,DEMPWRSOL,2023,0.0403
REGION1,DEMPWRSOL,2024,0.0403
REGION1,DEMPWRSOL,2025,0.0403
REGION1,DEMPWRSOL,2026,0.0403
REGION1,DEMPWRSOL,2027,0.0403
REGION1,DEMPWRSOL,2028,0.0403
REGION1,DEMPWRSOL,2029,0.0403
REGION1,DEMPWRSOL,2030,0.0403
REGION1,DEMPWRSOL,2031,0.0403
REGION1,DEMPWRSOL,2032,0.0403
REGION1,DEMPWRSOL,2033,0.0403
REGION1,DEMPWRSOL,2034,0.0403
REGION1,DEMPWRSOL,2035,0.0403
REGION1,DEMPWRSOL,2036,0.0403
REGION1,DEMPWRSOL,2037,0.0403
REGION1,DEMPWRSOL,2038,0.0403
REGION1,DEMPWRSOL,2039,0.0403
REGION1,DEMPWRSOL,2040,0.0403
REGION1,DEMPWRSURBC1,2020,0.3806
REGION1,DEMPWRSURBC1,2021,0.3806
REGION1,DEMPWRSURBC1,2022,0.3806
REGION1,DEMPWRSURBC1,2023,0.3806
REGION1,DEMPWRSURBC1,2024,0.3806
REGION1,DEMPWRSURBC1,2025,0.249
REGION1,DEMPWRSURBC1,2026,0.3806
REGION1,DEMPWRSURBC1,2027,0.3806
REGION1,DEMPWRWND,2020,159.4892
REGION1,DEMPWRWND,2021,172.893
REGION1,DEMPWRWND,2022,185.886
REGION1,DEMPWRWND,2023,199.9619
REGION1,DEMPWRWND,2024,217.4353
REGION1,DEMPWRWND,2025,217.4353
REGION1,DEMPWRWND,2026,226.9866
REGION1,DEMPWRWND,2027,238.3742
REGION1,DEMPWRWND,2028,289.9139
REGION1,DEMPWRWND,2029,297.6425
REGION1,DEMPWRWND,2030,312.1663
REGION1,DEMPWRWND,2031,328.2583
REGION1,DEMPWRWND,2032,344.2009
REGION1,DEMPWRWND,2033,353.9084
REGION1,DEMPWRWND,2034,359.4342
REGION1,DEMPWRWND,2035,365.3374
REGION1,DEMPWRWND,2036,372.3567
REGION1,DEMPWRWND,2037,379.375
REGION1,DEMPWRWND,2038,388.9102
REGION1,DEMPWRWND,2039,397.1928
REGION1,DEMPWRWND,2040,407.1616
REGION1,DEMPWRWND,2041,415.8309
REGION1,DEMPWRWND,2042,424.773
REGION1,DEMPWRWND,2043,432.6765
REGION1,DEMPWRWND,2044,441.6073
REGION1,DEMPWRWND,2045,450.3939
REGION1,DEMPWRWND,2046,459.3285
REGION1,DEMPWRWND,2047,468.2669
REGION1,DEMPWRWND,2048,477.2014
REGION1,DEMPWRWND,2049,486.1398
REGION1,DEMPWRWND,2050,495.0744
REGION1,DEMRESBIO,2020,13.1111
REGION1,DEMRESBIO,2021,13.3636
REGION1,DEMRESBIO,2022,13.5859
REGION1,DEMRESBIO,2023,13.8586
REGION1,DEMRESBIO,2024,14.1414
REGION1,DEMRESBIO,2025,14.404
REGION1,DEMRESBIO,2026,14.6566
REGION1,DEMRESBIO,2027,14.8687
REGION1,DEMRESBIO,2028,15.0909
REGION1,DEMRESBIO,2029,15.2929
REGION1,DEMRESBIO,2030,15.4444
REGION1,DEMRESBIO,2031,15.596
REGION1,DEMRESBIO,2032,15.7475
REGION1,DEMRESBIO,2033,15.8586
REGION1,DEMRESBIO,2034,15.9798
REGION1,DEMRESBIO,2035,16.0707
REGION1,DEMRESBIO,2036,16.1212
REGION1,DEMRESBIO,2037,16.1515
REGION1,DEMRESBIO,2038,16.1616
REGION1,DEMRESBIO,2039,16.1414
REGION1,DEMRESBIO,2040,16.1212
REGION1,DEMRESBIO,2041,16.0667
REGION1,DEMRESBIO,2042,16.1515
REGION1,DEMRESBIO,2043,16.2374
REGION1,DEMRESBIO,2044,16.3232
REGION1,DEMRESBIO,2045,16.4081
REGION1,DEMRESBIO,2046,16.4939
REGION1,DEMRESBIO,2047,16.5788
REGION1,DEMRESBIO,2048,16.6646
REGION1,DEMRESBIO,2049,16.7505
REGION1,DEMRESBIO,2050,16.8354
REGION1,DEMRESELCB02,2020,107.5678
REGION1,DEMRESELCB02,2021,109.9656
REGION1,DEMRESELCB02,2022,112.2478
REGION1,DEMRESELCB02,2023,114.7756
REGION1,DEMRESELCB02,2024,117.1011
REGION1,DEMRESELCB02,2025,119.4267
REGION1,DEMRESELCB02,2026,121.6222
REGION1,DEMRESELCB02,2027,123.5867
REGION1,DEMRESELCB02,2028,125.0456
REGION1,DEMRESELCB02,2029,126.3889
REGION1,DEMRESELCB02,2030,127.7322
REGION1,DEMRESELCB02,2031,128.8589
REGION1,DEMRESELCB02,2032,130.0
REGION1,DEMRESELCB02,2033,131.3144
REGION1,DEMRESELCB02,2034,132.1667
REGION1,DEMRESELCB02,2035,132.9178
REGION1,DEMRESELCB02,2036,133.6111
REGION1,DEMRESELCB02,2037,134.29
REGION1,DEMRESELCB02,2038,135.0411
REGION1,DEMRESELCB02,2039,135.7489
REGION1,DEMRESELCB02,2040,136.3844
REGION1,DEMRESELCB02,2041,137.6426
REGION1,DEMRESELCB02,2042,138.4919
REGION1,DEMRESELCB02,2043,139.3398
REGION1,DEMRESELCB02,2044,140.1877
REGION1,DEMRESELCB02,2045,141.037
REGION1,DEMRESELCB02,2046,141.8849
REGION1,DEMRESELCB02,2047,142.7342
REGION1,DEMRESELCB02,2048,143.5821
REGION1,DEMRESELCB02,2049,144.4314
REGION1,DEMRESELCB02,2050,145.2793
REGION1,DEMRESKER,2020,0.8485
REGION1,DEMRESKER,2021,0.8586
REGION1,DEMRESKER,2022,0.8687
REGION1,DEMRESKER,2023,0.8788
REGION1,DEMRESKER,2024,0.8788
REGION1,DEMRESKER,2025,0.8788
REGION1,DEMRESKER,2026,0.8889
REGION1,DEMRESKER,2027,0.8889
REGION1,DEMRESKER,2028,0.8889
REGION1,DEMRESKER,2029,0.8889
REGION1,DEMRESKER,2030,0.8889
REGION1,DEMRESKER,2031,0.8889
REGION1,DEMRESKER,2032,0.8889
REGION1,DEMRESKER,2033,0.8889
REGION1,DEMRESKER,2034,0.8889
REGION1,DEMRESKER,2035,0.8889
REGION1,DEMRESKER,2036,0.8889
REGION1,DEMRESKER,2037,0.8788
REGION1,DEMRESKER,2038,0.8788
REGION1,DEMRESKER,2039,0.8788
REGION1,DEMRESKER,2040,0.8687
REGION1,DEMRESNGS,2020,82.7879
REGION1,DEMRESNGS,2021,84.1313
REGION1,DEMRESNGS,2022,85.404
REGION1,DEMRESNGS,2023,86.9394
REGION1,DEMRESNGS,2024,88.5354
REGION1,DEMRESNGS,2025,89.9697
REGION1,DEMRESNGS,2026,91.2424
REGION1,DEMRESNGS,2027,92.3232
REGION1,DEMRESNGS,2028,93.4141
REGION1,DEMRESNGS,2029,94.3232
REGION1,DEMRESNGS,2030,95.0202
REGION1,DEMRESNGS,2031,95.7576
REGION1,DEMRESNGS,2032,96.4747
REGION1,DEMRESNGS,2033,96.9798
REGION1,DEMRESNGS,2034,97.5455
REGION1,DEMRESNGS,2035,97.9394
REGION1,DEMRESNGS,2036,98.1818
REGION1,DEMRESNGS,2037,98.3232
REGION1,DEMRESNGS,2038,98.3333
REGION1,DEMRESNGS,2039,98.2727
REGION1,DEMRESNGS,2040,98.1515
REGION1,DEMRESNGS,2041,100.5101
REGION1,DEMRESNGS,2042,101.2071
REGION1,DEMRESNGS,2043,101.903
REGION1,DEMRESNGS,2044,102.6
REGION1,DEMRESNGS,2045,103.296
REGION1,DEMRESNGS,2046,103.9919
REGION1,DEMRESNGS,2047,104.6889
REGION1,DEMRESNGS,2048,105.3848
REGION1,DEMRESNGS,2049,106.0818
REGION1,DEMRESNGS,2050,106.7778
REGION1,DEMTRABIO,2020,23.5657
REGION1,DEMTRABIO,2021,23.2323
REGION1,DEMTRABIO,2022,22.899
REGION1,DEMTRABIO,2023,22.5556
REGION1,DEMTRABIO,2024,22.2626
REGION1,DEMTRABIO,2025,22.0404
REGION1,DEMTRABIO,2026,21.8687
REGION1,DEMTRABIO,2027,21.7273
REGION1,DEMTRABIO,2028,21.5556
REGION1,DEMTRABIO,2029,21.3535
REGION1,DEMTRABIO,2030,21.1616
REGION1,DEMTRABIO,2031,20.9596
REGION1,DEMTRABIO,2032,20.7778
REGION1,DEMTRABIO,2033,20.5455
REGION1,DEMTRABIO,2034,20.2828
REGION1,DEMTRABIO,2035,20.0101
REGION1,DEMTRABIO,2036,19.7273
REGION1,DEMTRABIO,2037,19.4444
REGION1,DEMTRABIO,2038,19.1616
REGION1,DEMTRABIO,2039,18.8889
REGION1,DEMTRABIO,2040,18.6263
REGION1,DEMTRABIO,2041,18.5192
REGION1,DEMTRABIO,2042,18.2838
REGION1,DEMTRABIO,2043,18.0475
REGION1,DEMTRABIO,2044,17.8121
REGION1,DEMTRABIO,2045,17.5758
REGION1,DEMTRABIO,2046,17.3404
REGION1,DEMTRABIO,2047,17.1051
REGION1,DEMTRABIO,2048,16.8687
REGION1,DEMTRABIO,2049,16.6333
REGION1,DEMTRABIO,2050,16.397
REGION1,DEMTRADSL,2020,99.8081
REGION1,DEMTRADSL,2021,98.5657
REGION1,DEMTRADSL,2022,97.0303
REGION1,DEMTRADSL,2023,95.7475
REGION1,DEMTRADSL,2024,94.798
REGION1,DEMTRADSL,2025,94.3535
REGION1,DEMTRADSL,2026,94.1313
REGION1,DEMTRADSL,2027,94.0101
REGION1,DEMTRADSL,2028,93.3838
REGION1,DEMTRADSL,2029,92.8182
REGION1,DEMTRADSL,2030,92.3939
REGION1,DEMTRADSL,2031,91.9192
REGION1,DEMTRADSL,2032,91.101
REGION1,DEMTRADSL,2033,90.5253
REGION1,DEMTRADSL,2034,89.8586
REGION1,DEMTRADSL,2035,89.1818
REGION1,DEMTRADSL,2036,87.9394
REGION1,DEMTRADSL,2037,87.3131
REGION1,DEMTRADSL,2038,86.7273
REGION1,DEMTRADSL,2039,86.1818
REGION1,DEMTRADSL,2040,85.7172
REGION1,DEMTRADSL,2041,85.0343
REGION1,DEMTRADSL,2042,84.3879
REGION1,DEMTRADSL,2043,83.7404
REGION1,DEMTRADSL,2044,83.0929
REGION1,DEMTRADSL,2045,82.4455
REGION1,DEMTRADSL,2046,81.798
REGION1,DEMTRADSL,2047,81.1505
REGION1,DEMTRADSL,2048,80.503
REGION1,DEMTRADSL,2049,79.8566
REGION1,DEMTRADSL,2050,79.2091
