r,t,e,m,y,AnnualTechnologyEmissionByMode
"REGION1","DEMINDNGS","CO2",1,2048,20.4478051
"REGION1","DEMINDNGS","CO2",1,2049,20.7227449
"REGION1","DEMINDNGS","CO2",1,2050,20.9976847
"REGION1","DEMINDELCB02","CO2",1,2020,0
"REGION1","DEMINDELCB02","CO2",1,2021,0
"REGION1","DEMINDELCB02","CO2",1,2022,0
"REGION1","DEMINDELCB02","CO2",1,2023,0
"REGION1","DEMINDELCB02","CO2",1,2024,0
"REGION1","DEMINDELCB02","CO2",1,2025,0
"REGION1","DEMINDELCB02","CO2",1,2026,0
"REGION1","DEMINDELCB02","CO2",1,2027,0
"REGION1","DEMINDELCB02","CO2",1,2028,0
"REGION1","DEMINDELCB02","CO2",1,2029,0
"REGION1","DEMINDELCB02","CO2",1,2030,0
"REGION1","DEMINDELCB02","CO2",1,2031,0
"REGION1","DEMINDELCB02","CO2",1,2032,0
"REGION1","DEMINDELCB02","CO2",1,2033,0
"REGION1","DEMINDELCB02","CO2",1,2034,0
"REGION1","DEMINDELCB02","CO2",1,2035,0
"REGION1","DEMINDELCB02","CO2",1,2036,0
"REGION1","DEMINDELCB02","CO2",1,2037,0
"REGION1","DEMINDELCB02","CO2",1,2038,0
"REGION1","DEMINDELCB02","CO2",1,2039,0
"REGION1","DEMINDELCB02","CO2",1,2040,0
"REGION1","DEMINDELCB02","CO2",1,2041,0
"REGION1","DEMINDELCB02","CO2",1,2042,0
"REGION1","DEMINDELCB02","CO2",1,2043,0
"REGION1","DEMINDELCB02","CO2",1,2044,0
"REGION1","DEMINDELCB02","CO2",1,2045,0
"REGION1","DEMINDELCB02","CO2",1,2046,0
"REGION1","DEMINDELCB02","CO2",1,2047,0
"REGION1","DEMINDELCB02","CO2",1,2048,0
"REGION1","DEMINDELCB02","CO2",1,2049,0
"REGION1","DEMINDELCB02","CO2",1,2050,0
"REGION1","DEMRESKER","CO2",1,2020,0.06006
"REGION1","DEMRESKER","CO2",1,2021,0.060775
"REGION1","DEMRESKER","CO2",1,2022,0.06149
"REGION1","DEMRESKER","CO2",1,2023,0.062205
"REGION1","DEMRESKER","CO2",1,2024,0.062205
"REGION1","DEMRESKER","CO2",1,2025,0.062205
"REGION1","DEMRESKER","CO2",1,2026,0.06292
"REGION1","DEMRESKER","CO2",1,2027,0.06292
"REGION1","DEMRESKER","CO2",1,2028,0.06292
"REGION1","DEMRESKER","CO2",1,2029,0.06292
"REGION1","DEMRESKER","CO2",1,2030,0.06292
"REGION1","DEMRESKER","CO2",1,2031,0.06292
"REGION1","DEMRESKER","CO2",1,2032,0.06292
"REGION1","DEMRESKER","CO2",1,2033,0.0629199999999999
"REGION1","DEMRESKER","CO2",1,2034,0.06292
"REGION1","DEMRESKER","CO2",1,2035,0.06292
"REGION1","DEMRESKER","CO2",1,2036,0.06292
"REGION1","DEMRESKER","CO2",1,2037,0.062205
"REGION1","DEMRESKER","CO2",1,2038,0.062205
"REGION1","DEMRESKER","CO2",1,2039,0.062205
"REGION1","DEMRESKER","CO2",1,2040,0.06149
"REGION1","DEMRESKER","CO2",1,2041,0
"REGION1","DEMRESKER","CO2",1,2042,0
"REGION1","DEMRESKER","CO2",1,2043,0
"REGION1","DEMRESKER","CO2",1,2044,0
"REGION1","DEMRESKER","CO2",1,2045,0
"REGION1","DEMRESKER","CO2",1,2046,0
"REGION1","DEMRESKER","CO2",1,2047,0
"REGION1","DEMRESKER","CO2",1,2048,0
"REGION1","DEMRESKER","CO2",1,2049,0
"REGION1","DEMRESKER","CO2",1,2050,0
"REGION1","DEMRESBIO","CO2",1,2020,0.9086
"REGION1","DEMRESBIO","CO2",1,2021,0.9261
"REGION1","DEMRESBIO","CO2",1,2022,0.9415
"REGION1","DEMRESBIO","CO2",1,2023,0.9604
"REGION1","DEMRESBIO","CO2",1,2024,0.98
"REGION1","DEMRESBIO","CO2",1,2025,0.9982
"REGION1","DEMRESBIO","CO2",1,2026,1.0157
"REGION1","DEMRESBIO","CO2",1,2027,1.0304
"REGION1","DEMRESBIO","CO2",1,2028,1.0458
"REGION1","DEMRESBIO","CO2",1,2029,1.0598
"REGION1","DEMRESBIO","CO2",1,2030,1.0703
"REGION1","DEMRESBIO","CO2",1,2031,1.0808
"REGION1","DEMRESBIO","CO2",1,2032,1.0913
"REGION1","DEMRESBIO","CO2",1,2033,1.099
"REGION1","DEMRESBIO","CO2",1,2034,1.1074
"REGION1","DEMRESBIO","CO2",1,2035,1.1137
"REGION1","DEMRESBIO","CO2",1,2036,1.1172
"REGION1","DEMRESBIO","CO2",1,2037,1.1193
"REGION1","DEMRESBIO","CO2",1,2038,1.12
"REGION1","DEMRESBIO","CO2",1,2039,1.1186
"REGION1","DEMRESBIO","CO2",1,2040,1.1172
"REGION1","DEMRESBIO","CO2",1,2041,1.11342
"REGION1","DEMRESBIO","CO2",1,2042,1.1193
"REGION1","DEMRESBIO","CO2",1,2043,1.12525
"REGION1","DEMRESBIO","CO2",1,2044,1.1312
"REGION1","DEMRESBIO","CO2",1,2045,1.13708
"REGION1","DEMRESBIO","CO2",1,2046,1.14303
"REGION1","DEMRESBIO","CO2",1,2047,1.14891
"REGION1","DEMRESBIO","CO2",1,2048,1.15486
"REGION1","DEMRESBIO","CO2",1,2049,1.16081
"REGION1","DEMRESBIO","CO2",1,2050,1.16669
"REGION1","DEMRESNGS","CO2",1,2020,4.122588
"REGION1","DEMRESNGS","CO2",1,2021,4.189487
"REGION1","DEMRESNGS","CO2",1,2022,4.252865
"REGION1","DEMRESNGS","CO2",1,2023,4.329321
"REGION1","DEMRESNGS","CO2",1,2024,4.408795
"REGION1","DEMRESNGS","CO2",1,2025,4.480221
"REGION1","DEMRESNGS","CO2",1,2026,4.543599
"REGION1","DEMRESNGS","CO2",1,2027,4.59742
"REGION1","DEMRESNGS","CO2",1,2028,4.651744
"REGION1","DEMRESNGS","CO2",1,2029,4.697014
"REGION1","DEMRESNGS","CO2",1,2030,4.731721
"REGION1","DEMRESNGS","CO2",1,2031,4.76844
"REGION1","DEMRESNGS","CO2",1,2032,4.804153
"REGION1","DEMRESNGS","CO2",1,2033,4.829303
"REGION1","DEMRESNGS","CO2",1,2034,4.857471
"REGION1","DEMRESNGS","CO2",1,2035,4.877088
"REGION1","DEMRESNGS","CO2",1,2036,4.88916
"REGION1","DEMRESNGS","CO2",1,2037,4.896202
"REGION1","DEMRESNGS","CO2",1,2038,4.896705
"REGION1","DEMRESNGS","CO2",1,2039,4.893687
"REGION1","DEMRESNGS","CO2",1,2040,4.887651
"REGION1","DEMRESNGS","CO2",1,2041,5.0051015
"REGION1","DEMRESNGS","CO2",1,2042,5.0398085
"REGION1","DEMRESNGS","CO2",1,2043,5.0744652
"REGION1","DEMRESNGS","CO2",1,2044,5.1091722
"REGION1","DEMRESNGS","CO2",1,2045,5.1438289
"REGION1","DEMRESNGS","CO2",1,2046,5.1784856
"REGION1","DEMRESNGS","CO2",1,2047,5.2131926
"REGION1","DEMRESNGS","CO2",1,2048,5.2478493
"REGION1","DEMRESNGS","CO2",1,2049,5.2825563
"REGION1","DEMRESNGS","CO2",1,2050,5.317213
"REGION1","DEMRESELCB02","CO2",1,2020,0
"REGION1","DEMRESELCB02","CO2",1,2021,0
"REGION1","DEMRESELCB02","CO2",1,2022,0
"REGION1","DEMRESELCB02","CO2",1,2023,0
"REGION1","DEMRESELCB02","CO2",1,2024,0
"REGION1","DEMRESELCB02","CO2",1,2025,0
"REGION1","DEMRESELCB02","CO2",1,2026,0
"REGION1","DEMRESELCB02","CO2",1,2027,0
"REGION1","DEMRESELCB02","CO2",1,2028,0
"REGION1","DEMRESELCB02","CO2",1,2029,0
"REGION1","DEMRESELCB02","CO2",1,2030,0
"REGION1","DEMRESELCB02","CO2",1,2031,0
"REGION1","DEMRESELCB02","CO2",1,2032,0
"REGION1","DEMRESELCB02","CO2",1,2033,0
"REGION1","DEMRESELCB02","CO2",1,2034,0
"REGION1","DEMRESELCB02","CO2",1,2035,0
"REGION1","DEMRESELCB02","CO2",1,2036,0
"REGION1","DEMRESELCB02","CO2",1,2037,0
"REGION1","DEMRESELCB02","CO2",1,2038,0
"REGION1","DEMRESELCB02","CO2",1,2039,0
"REGION1","DEMRESELCB02","CO2",1,2040,0
"REGION1","DEMRESELCB02","CO2",1,2041,0
"REGION1","DEMRESELCB02","CO2",1,2042,0
"REGION1","DEMRESELCB02","CO2",1,2043,0
"REGION1","DEMRESELCB02","CO2",1,2044,0
"REGION1","DEMRESELCB02","CO2",1,2045,0
"REGION1","DEMRESELCB02","CO2",1,2046,0
"REGION1","DEMRESELCB02","CO2",1,2047,0
"REGION1","DEMRESELCB02","CO2",1,2048,0
"REGION1","DEMRESELCB02","CO2",1,2049,0
"REGION1","DEMRESELCB02","CO2",1,2050,0
"REGION1","DEMCOMKER","CO2",1,2020,0.755755
"REGION1","DEMCOMKER","CO2",1,2021,0.7722
"REGION1","DEMCOMKER","CO2",1,2022,0.7865
"REGION1","DEMCOMKER","CO2",1,2023,0.798655
"REGION1","DEMCOMKER","CO2",1,2024,0.810095
"REGION1","DEMCOMKER","CO2",1,2025,0.82082
"REGION1","DEMCOMKER","CO2",1,2026,0.832975
"REGION1","DEMCOMKER","CO2",1,2027,0.845845
"REGION1","DEMCOMKER","CO2",1,2028,0.860145
"REGION1","DEMCOMKER","CO2",1,2029,0.874445
"REGION1","DEMCOMKER","CO2",1,2030,0.887315
"REGION1","DEMCOMKER","CO2",1,2031,0.898755
"REGION1","DEMCOMKER","CO2",1,2032,0.910195
"REGION1","DEMCOMKER","CO2",1,2033,0.920205
"REGION1","DEMCOMKER","CO2",1,2034,0.93093
"REGION1","DEMCOMKER","CO2",1,2035,0.94094
"REGION1","DEMCOMKER","CO2",1,2036,0.950235
"REGION1","DEMCOMKER","CO2",1,2037,0.9581
"REGION1","DEMCOMKER","CO2",1,2038,0.965965
"REGION1","DEMCOMKER","CO2",1,2039,0.9724
"REGION1","DEMCOMKER","CO2",1,2040,0.97955
"REGION1","DEMCOMKER","CO2",1,2041,1.015014
"REGION1","DEMCOMKER","CO2",1,2042,1.028456
"REGION1","DEMCOMKER","CO2",1,2043,1.0419695
"REGION1","DEMCOMKER","CO2",1,2044,1.0554115
"REGION1","DEMCOMKER","CO2",1,2045,1.0688535
"REGION1","DEMCOMKER","CO2",1,2046,1.0822955
"REGION1","DEMCOMKER","CO2",1,2047,1.0957375
"REGION1","DEMCOMKER","CO2",1,2048,1.1091795
"REGION1","DEMCOMKER","CO2",1,2049,1.1226215
"REGION1","DEMCOMKER","CO2",1,2050,1.136135
"REGION1","DEMCOMBIO","CO2",1,2020,0.0084
"REGION1","DEMCOMBIO","CO2",1,2021,0.0119
"REGION1","DEMCOMBIO","CO2",1,2022,0.0154
"REGION1","DEMCOMBIO","CO2",1,2023,0.0182
"REGION1","DEMCOMBIO","CO2",1,2024,0.0217
"REGION1","DEMCOMBIO","CO2",1,2025,0.0245
"REGION1","DEMCOMBIO","CO2",1,2026,0.028
"REGION1","DEMCOMBIO","CO2",1,2027,0.0315
"REGION1","DEMCOMBIO","CO2",1,2028,0.0343
"REGION1","DEMCOMBIO","CO2",1,2029,0.0378
"REGION1","DEMCOMBIO","CO2",1,2030,0.0406
"REGION1","DEMCOMBIO","CO2",1,2031,0.0441
"REGION1","DEMCOMBIO","CO2",1,2032,0.0469
"REGION1","DEMCOMBIO","CO2",1,2033,0.0497
"REGION1","DEMCOMBIO","CO2",1,2034,0.0525
"REGION1","DEMCOMBIO","CO2",1,2035,0.0553
"REGION1","DEMCOMBIO","CO2",1,2036,0.0581
"REGION1","DEMCOMBIO","CO2",1,2037,0.0602
"REGION1","DEMCOMBIO","CO2",1,2038,0.063
"REGION1","DEMCOMBIO","CO2",1,2039,0.0651
"REGION1","DEMCOMBIO","CO2",1,2040,0.0679
"REGION1","DEMCOMBIO","CO2",1,2041,0.06405
"REGION1","DEMCOMBIO","CO2",1,2042,0.06629
"REGION1","DEMCOMBIO","CO2",1,2043,0.06846
"REGION1","DEMCOMBIO","CO2",1,2044,0.07063
"REGION1","DEMCOMBIO","CO2",1,2045,0.07287
"REGION1","DEMCOMBIO","CO2",1,2046,0.07504
"REGION1","DEMCOMBIO","CO2",1,2047,0.07728
"REGION1","DEMCOMBIO","CO2",1,2048,0.07945
"REGION1","DEMCOMBIO","CO2",1,2049,0.08169
"REGION1","DEMCOMBIO","CO2",1,2050,0.08386
"REGION1","DEMCOMNGS","CO2",1,2020,4.227715
"REGION1","DEMCOMNGS","CO2",1,2021,4.23023
"REGION1","DEMCOMNGS","CO2",1,2022,4.227212
"REGION1","DEMCOMNGS","CO2",1,2023,4.230733
"REGION1","DEMCOMNGS","CO2",1,2024,4.256889
"REGION1","DEMCOMNGS","CO2",1,2025,4.308698
"REGION1","DEMCOMNGS","CO2",1,2026,4.384651
"REGION1","DEMCOMNGS","CO2",1,2027,4.454065
"REGION1","DEMCOMNGS","CO2",1,2028,4.495311
"REGION1","DEMCOMNGS","CO2",1,2029,4.548126
"REGION1","DEMCOMNGS","CO2",1,2030,4.611504
"REGION1","DEMCOMNGS","CO2",1,2031,4.689469
"REGION1","DEMCOMNGS","CO2",1,2032,4.741781
"REGION1","DEMCOMNGS","CO2",1,2033,4.777494
"REGION1","DEMCOMNGS","CO2",1,2034,4.810189
"REGION1","DEMCOMNGS","CO2",1,2035,4.845902
"REGION1","DEMCOMNGS","CO2",1,2036,4.876585
"REGION1","DEMCOMNGS","CO2",1,2037,4.901232
"REGION1","DEMCOMNGS","CO2",1,2038,4.925879
"REGION1","DEMCOMNGS","CO2",1,2039,4.950526
"REGION1","DEMCOMNGS","CO2",1,2040,4.975676
"REGION1","DEMCOMNGS","CO2",1,2041,5.1424708
"REGION1","DEMCOMNGS","CO2",1,2042,5.1940786
"REGION1","DEMCOMNGS","CO2",1,2043,5.2456864
"REGION1","DEMCOMNGS","CO2",1,2044,5.2972439
"REGION1","DEMCOMNGS","CO2",1,2045,5.3488517
"REGION1","DEMCOMNGS","CO2",1,2046,5.4004092
"REGION1","DEMCOMNGS","CO2",1,2047,5.452017
"REGION1","DEMCOMNGS","CO2",1,2048,5.5035745
"REGION1","DEMCOMNGS","CO2",1,2049,5.5551823
"REGION1","DEMCOMNGS","CO2",1,2050,5.6067901
"REGION1","DEMCOMELCB02","CO2",1,2020,0
"REGION1","DEMCOMELCB02","CO2",1,2021,0
"REGION1","DEMCOMELCB02","CO2",1,2022,0
"REGION1","DEMCOMELCB02","CO2",1,2023,0
"REGION1","DEMCOMELCB02","CO2",1,2024,0
"REGION1","DEMCOMELCB02","CO2",1,2025,0
"REGION1","DEMCOMELCB02","CO2",1,2026,0
"REGION1","DEMCOMELCB02","CO2",1,2027,0
"REGION1","DEMCOMELCB02","CO2",1,2028,0
"REGION1","DEMCOMELCB02","CO2",1,2029,0
"REGION1","DEMCOMELCB02","CO2",1,2030,0
"REGION1","DEMCOMELCB02","CO2",1,2031,0
"REGION1","DEMCOMELCB02","CO2",1,2032,0
"REGION1","DEMCOMELCB02","CO2",1,2033,0
"REGION1","DEMCOMELCB02","CO2",1,2034,0
"REGION1","DEMCOMELCB02","CO2",1,2035,0
"REGION1","DEMCOMELCB02","CO2",1,2036,0
"REGION1","DEMCOMELCB02","CO2",1,2037,0
"REGION1","DEMCOMELCB02","CO2",1,2038,0
"REGION1","DEMCOMELCB02","CO2",1,2039,0
"REGION1","DEMCOMELCB02","CO2",1,2040,0
"REGION1","DEMCOMELCB02","CO2",1,2041,0
"REGION1","DEMCOMELCB02","CO2",1,2042,0
"REGION1","DEMCOMELCB02","CO2",1,2043,0
"REGION1","DEMCOMELCB02","CO2",1,2044,0
"REGION1","DEMCOMELCB02","CO2",1,2045,0
"REGION1","DEMCOMELCB02","CO2",1,2046,0
"REGION1","DEMCOMELCB02","CO2",1,2047,0
"REGION1","DEMCOMELCB02","CO2",1,2048,0
"REGION1","DEMCOMELCB02","CO2",1,2049,0
"REGION1","DEMCOMELCB02","CO2",1,2050,0
"REGION1","DEMAGRDSL","CO2",1,2020,1.038624
"REGION1","DEMAGRDSL","CO2",1,2021,1.0901364
"REGION1","DEMAGRDSL","CO2",1,2022,1.1354366
"REGION1","DEMAGRDSL","CO2",1,2023,1.1623096
"REGION1","DEMAGRDSL","CO2",1,2024,1.2280612
"REGION1","DEMAGRDSL","CO2",1,2025,1.2662418
"REGION1","DEMAGRDSL","CO2",1,2026,1.3098668
"REGION1","DEMAGRDSL","CO2",1,2027,1.356214
"REGION1","DEMAGRDSL","CO2",1,2028,1.405423
"REGION1","DEMAGRDSL","CO2",1,2029,1.4465352
"REGION1","DEMAGRDSL","CO2",1,2030,1.49372
"REGION1","DEMAGRDSL","CO2",1,2031,1.539788
"REGION1","DEMAGRDSL","CO2",1,2032,1.5849486
"REGION1","DEMAGRDSL","CO2",1,2033,1.6297602
"REGION1","DEMAGRDSL","CO2",1,2034,1.676247
"REGION1","DEMAGRDSL","CO2",1,2035,1.7214076
"REGION1","DEMAGRDSL","CO2",1,2036,1.7668474
"REGION1","DEMAGRDSL","CO2",1,2037,1.8124268
"REGION1","DEMAGRDSL","CO2",1,2038,1.8581458
"REGION1","DEMAGRDSL","CO2",1,2039,1.903446
"REGION1","DEMAGRDSL","CO2",1,2040,1.9490952
"REGION1","DEMAGRDSL","CO2",1,2041,1.9946048
"REGION1","DEMAGRDSL","CO2",1,2042,2.0401144
"REGION1","DEMAGRDSL","CO2",1,2043,2.085624
"REGION1","DEMAGRDSL","CO2",1,2044,2.1312034
"REGION1","DEMAGRDSL","CO2",1,2045,2.176713
"REGION1","DEMAGRDSL","CO2",1,2046,2.2222226
"REGION1","DEMAGRDSL","CO2",1,2047,2.267802
"REGION1","DEMAGRDSL","CO2",1,2048,2.3133116
"REGION1","DEMAGRDSL","CO2",1,2049,2.3588212
"REGION1","DEMAGRDSL","CO2",1,2050,2.4044006
"REGION1","DEMAGRNGS","CO2",1,2020,0
"REGION1","DEMAGRNGS","CO2",1,2021,0
"REGION1","DEMAGRNGS","CO2",1,2022,0
"REGION1","DEMAGRNGS","CO2",1,2023,0
"REGION1","DEMAGRNGS","CO2",1,2024,0
"REGION1","DEMAGRNGS","CO2",1,2025,0
"REGION1","DEMAGRNGS","CO2",1,2026,0
"REGION1","DEMAGRNGS","CO2",1,2027,0
"REGION1","DEMAGRNGS","CO2",1,2028,0
"REGION1","DEMAGRNGS","CO2",1,2029,0
"REGION1","DEMAGRNGS","CO2",1,2030,0
"REGION1","DEMAGRNGS","CO2",1,2031,0
"REGION1","DEMAGRNGS","CO2",1,2032,0
"REGION1","DEMAGRNGS","CO2",1,2033,0
"REGION1","DEMAGRNGS","CO2",1,2034,0
"REGION1","DEMAGRNGS","CO2",1,2035,0
"REGION1","DEMAGRNGS","CO2",1,2036,0
"REGION1","DEMAGRNGS","CO2",1,2037,0
"REGION1","DEMAGRNGS","CO2",1,2038,0
"REGION1","DEMAGRNGS","CO2",1,2039,0
"REGION1","DEMAGRNGS","CO2",1,2040,0
"REGION1","DEMAGRNGS","CO2",1,2041,0
"REGION1","DEMAGRNGS","CO2",1,2042,0
"REGION1","DEMAGRNGS","CO2",1,2043,0
"REGION1","DEMAGRNGS","CO2",1,2044,0
"REGION1","DEMAGRNGS","CO2",1,2045,0
"REGION1","DEMAGRNGS","CO2",1,2046,0
"REGION1","DEMAGRNGS","CO2",1,2047,0
"REGION1","DEMAGRNGS","CO2",1,2048,0
"REGION1","DEMAGRNGS","CO2",1,2049,0
"REGION1","DEMAGRNGS","CO2",1,2050,0
"REGION1","DEMAGRELCB02","CO2",1,2020,0
"REGION1","DEMAGRELCB02","CO2",1,2021,0
"REGION1","DEMAGRELCB02","CO2",1,2022,0
"REGION1","DEMAGRELCB02","CO2",1,2023,0
"REGION1","DEMAGRELCB02","CO2",1,2024,0
"REGION1","DEMAGRELCB02","CO2",1,2025,0
"REGION1","DEMAGRELCB02","CO2",1,2026,0
"REGION1","DEMAGRELCB02","CO2",1,2027,0
"REGION1","DEMAGRELCB02","CO2",1,2028,0
"REGION1","DEMAGRELCB02","CO2",1,2029,0
"REGION1","DEMAGRELCB02","CO2",1,2030,0
"REGION1","DEMAGRELCB02","CO2",1,2031,0
"REGION1","DEMAGRELCB02","CO2",1,2032,0
"REGION1","DEMAGRELCB02","CO2",1,2033,0
"REGION1","DEMAGRELCB02","CO2",1,2034,0
"REGION1","DEMAGRELCB02","CO2",1,2035,0
"REGION1","DEMAGRELCB02","CO2",1,2036,0
"REGION1","DEMAGRELCB02","CO2",1,2037,0
"REGION1","DEMAGRELCB02","CO2",1,2038,0
"REGION1","DEMAGRELCB02","CO2",1,2039,0
"REGION1","DEMAGRELCB02","CO2",1,2040,0
"REGION1","DEMAGRELCB02","CO2",1,2041,0
"REGION1","DEMAGRELCB02","CO2",1,2042,0
"REGION1","DEMAGRELCB02","CO2",1,2043,0
"REGION1","DEMAGRELCB02","CO2",1,2044,0
"REGION1","DEMAGRELCB02","CO2",1,2045,0
"REGION1","DEMAGRELCB02","CO2",1,2046,0
"REGION1","DEMAGRELCB02","CO2",1,2047,0
"REGION1","DEMAGRELCB02","CO2",1,2048,0
"REGION1","DEMAGRELCB02","CO2",1,2049,0
"REGION1","DEMAGRELCB02","CO2",1,2050,0
"REGION1","DEMTRAGSL","CO2",1,2020,10.259144
"REGION1","DEMTRAGSL","CO2",1,2021,10.079452
"REGION1","DEMTRAGSL","CO2",1,2022,9.89976
"REGION1","DEMTRAGSL","CO2",1,2023,9.710048
"REGION1","DEMTRAGSL","CO2",1,2024,9.534364
"REGION1","DEMTRAGSL","CO2",1,2025,9.36936799999999
"REGION1","DEMTRAGSL","CO2",1,2026,9.222408
"REGION1","DEMTRAGSL","CO2",1,2027,9.084132
"REGION1","DEMTRAGSL","CO2",1,2028,8.938508
"REGION1","DEMTRAGSL","CO2",1,2029,8.778188
"REGION1","DEMTRAGSL","CO2",1,2030,8.6172
"REGION1","DEMTRAGSL","CO2",1,2031,8.446192
"REGION1","DEMTRAGSL","CO2",1,2032,8.273848
"REGION1","DEMTRAGSL","CO2",1,2033,8.076788
"REGION1","DEMTRAGSL","CO2",1,2034,7.866368
"REGION1","DEMTRAGSL","CO2",1,2035,7.645928
"REGION1","DEMTRAGSL","CO2",1,2036,7.416136
"REGION1","DEMTRAGSL","CO2",1,2037,7.180332
"REGION1","DEMTRAGSL","CO2",1,2038,6.939184
"REGION1","DEMTRAGSL","CO2",1,2039,6.694696
