,project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
13,Diversion (not powered),,BC,,,,,,,,,,,,,,,,,,,,,,Elliot,,Diversion,,,358.68,386.2,380,,,,,,23,21,16,12,7,3,2,1,3,11,25,25,,
14,Eldorado Reservoir,BC_DUC_DSS,BC,Hydro_daily,1.13,1,1.13,0.4040893845718673,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Elko,BC_ELK_GSS,BC,Hydro_daily,12,1,12,0.3311588445533771,34.811417739450995,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,600000,,,,,,,,,,,,,,
16,Falls River,BC_FLS_GSS,BC,Hydro_daily,7,1,7,0.33115881734010766,20.3066586792954,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11500000,,,,,,,,,,,,,,
17,G.M. Shrum,BC_GMS_GSS,BC,Hydro_monthly,3050,1,3050,0.6006231758057152,16047.4500111771,10.0,,,,,,,,,,,,,,,Dinosaur,,Williston,07EF003,,642.03,672.08,666.07,,,,,39471000000,300,255,245,517,2475,3706,1974,990,787,795,546,351,,
18,John Hart,BC_JHT_GSS,BC,Hydro_daily,138,1,138,0.33115881680399545,400.33127045801405,3.0,,2019.0,,,,,,,,,,,,08HD003,,,John Hart,,,133.43,140.06,139.44,,,,,20420000,0,0,0,0,0,0,0,0,0,0,0,0,,
19,Jordan River,BC_JOR_DFS,BC,Hydro_daily,170,1,170,0.3311588210123637,493.161716251612,1.0,,1971.0,,,,,,,,,,,,,,,Elliott,,,311.51,335.89,330,,,,,1600000,23,21,16,12,7,3,2,1,3,11,25,25,,
20,Kemano,BC_KMO_GSS,BC,Hydro_monthly,900,1,900,0.41945712836123794,3307,8.0,,2010.0,,,,,,,,,,,,08FE002,,,Nechako,,,,,,,,,,,,,,,,,,,,,,,,
21,Kootenay Canal,BC_KCL_GSS,BC,Hydro_daily,591,1,591,0.3311588182081402,1714.4621872744551,4.0,,,,,,,,,,,,,,,Brilliant,,Corra Linn,,,,,,,,,,,,,,,,,,,,,,,,
22,Ladore,BC_LDR_GSS,BC,Hydro_daily,47,1,47,0.33115879480983873,136.3446989991068,2.0,,,,,,,,,,,,,,,John Hart,,Lower Campbell Lake,,,163.65,178.3,176.8,,,,,306600000,13,10,10,12,16,12,5,2,3,12,17,12,,
23,Lajoie,BC_LAJ_DFS,BC,Hydro_daily,25,1,25,0.33115878945214844,72.5237748900205,1.0,,,,,,,,,,,,,,,Carpenter,,Downton Lake,,,707.67,749.81,741.382,,,,,705600000,7,7,7,11,39,101,123,104,55,26,12,7,,
24,Long Lake,BC_LNL_GSS,BC,Hydro_daily,31,1,31,0.5673442333186036,154.068,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Lower Bonnington,BC_LBO_GSS,BC,Hydro_daily,46,1,46,0.33114949374627756,133.44,3.0,,1924.0,,,,,,,,,,,,,South Slocan,,Lower Bonnington,,,,,,,,,,,,,,,,,,,,,,,,
26,Mica,BC_MCA_GSS,BC,Hydro_monthly,2971,1,2971,0.4493932626343359,11695.89107759072,6.0,,,,,,,,,,,,,,,Revelstoke,,Kinbasket,08ND017,,707.41,754.38,744.986,,,,,14801760000,108,103,104,219,819,1611,1600,1104,581,314,196,132,,
27,Peace Canyon,BC_PCN_GSS,BC,Hydro_monthly,700,1,700,0.6220499222700066,3814.4101233596803,4.0,,,,,,,,,,,,,,07EF001,Site C,07EF001,Dinosaur,,,500,502.92,502.336,,,,,24690000,4.020990368,3.460462234,3.582729238,5.312971413,12.9558639,19.9182626,15.31414213,9.437604857,6.021541079,5.956355139,5.752534845,4.266542204,,07EF001 Level is prior to Site C reservoir
28,Puntledge,BC_PUN_DFS,BC,Hydro_daily,24,1,24,0.33115882267169044,69.6228308784962,1.0,,1955.0,,,,,,,,,,,,,,,,,,130.5,135.33,,,,,,97800000,,,,,,,,,,,,,,
29,Raging River,BC_JUL_DSS,BC,Hydro_daily,8,1,8,0.5673408698171518,39.759248156786,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Revelstoke,BC_REV_GSS,BC,Hydro_monthly,2500,1,2500,0.40181971599631044,8799.851780319199,5.0,,,,,,,,,,,,,,08ND025,Arrow,,Revelstoke,,,554.54,573.02,572.716,,,,,1850220000,47,44,48,125,454,700,554,339,200,143,100,66,,
31,Ruskin,BC_RUS_GSS,BC,Hydro_daily,115,1,115,0.3311300256464919,333.580387836276,3.0,,,,,,,,,,,,,,,,,Hayward,08MH167,,41.1,42.8,42.46,,,,,"""daily pondage""",0,0,0,0,0,0,0,0,0,0,0,0,,"total storage: 42,000,000m^3                          http://www.llbc.leg.bc.ca/public/pubdocs/bcdocs/400454/environment30835.pdf "
32,Seton,BC_SON_DFS,BC,Hydro_daily,48,1,48,0.3311588383799277,139.245668361992,1.0,,,,,,,,,,,,,,08ME003,,,Seton (+ Carpenter),,,235.76,236.36,236.24,,,,,14800000,8,7,7,8,20,47,41,24,15,12,11,9,,
33,Seven Mile,BC_SEV_GSS,BC,Hydro_daily,805,1,805,0.3311588117751683,2335.265708876132,4.0,,,,,,,,,,,,,,,Waneta,,Seven Mile,,,514.8,527.3,524.8,,,,,45960000,484,497,616,892,1303,1438,707,367,425,615,611,522,,80% of total storage
34,Shuswap,BC_ACK_DSS,BC,Hydro_daily,6,1,6,0.3312404870624049,17.41,1.0,,,,,,,,,,,,,,,,,Shuswap Lake,,,,,,,,,,133700000,,,,,,,,,,,,,,
35,Site C,BC_STC_GSS,BC,Hydro_monthly,1132,1,1132,0.5409690397153535,5364.422107910154,6.0,,,,,,,,,,,,,,07FA004,,,Site C,,,460.011,461.8,461.4418915,,,,,165000000,13.92,12.1,12.51,34.74,169,311.7,199.1,94.03,64.18,45.06,25.22,17.97,,07FA004 Flow is prior to Site C generation
36,South Slocan,BC_SLC_GSS,BC,Hydro_daily,57,1,57,0.3311588120123702,165.35421801401668,3.0,,,,,,,,,,,,,,,Brilliant,,South Slocan,,,,,,,,,,,,,,,,,,,,,,,,
37,Stave Falls,BC_SFL_GSS,BC,Hydro_daily,91,1,91,0.3311587946314391,263.986544728398,2.0,,2000.0,,,,,,,,,,,,,Hayward,08MH167,Stave Lake,,,73,82.08,80.264,,,,,470000000,50.77,43.69,45.23,67.08,163.57,251.47,193.34,119.15,76.02,75.2,72.63,53.87,,
38,Strathcona,BC_SCA_GSS,BC,Hydro_daily,65,1,65,0.3311587879909603,188.5618138820528,2.0,,,,,,,,,,,,,,,Lower Campbell Lake,,Upper Campbell Lake,08HD031,,210,221,219.6,,,,,880000000000,86,68,63,67,106,114,72,36,32,80,116,89,,
39,Tyson Creek,BC_MSA_DSS,BC,Hydro_daily,9.3,1,9.3,0.5673408701510323,46.2201260094643,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Upper Bonnington,BC_UBO_GSS,BC,Hydro_daily,63,1,63,0.3311588245790761,182.7599321087005,6.0,,1939.0,,,,,,,,,,,,,Lower Bonnington,,Upper Bonnington,,,,,,,,,, ,,,,,,,,,,,,,,
41,Wahleach,BC_WAH_GSS,BC,Hydro_daily,65,1,65,0.331158808718386,188.561825684249,1.0,,,,,,,,,,,,,,,,,Jones Lake,,,45,52.5,51,,,,,61000000,5,5,4,5,10,12,9,5,4,5,7,6,,
42,Walter Hardman,BC_WHN_GSS,BC,Hydro_daily,8,1,8,0.33115880957976884,23.2076093753502,2.0,,,,,,,,,,,,,,,Arrow,,Walter Hardman,,,698,701.95,701.16,,,,,459350,4.020990368,3.460462234,3.582729238,5.312971413,12.9558639,19.9182626,15.31414213,9.437604857,6.021541079,5.956355139,5.752534845,4.266542204,,
43,Waneta,BC_WAN_GSS,BC,Hydro_daily,480,1,480,0.3311588051478568,1392.456543885708,4.0,,,,,,,,,,,,,,,Columbia (U.S.),08NE058,Waneta,,,458.1,462.7,461.78,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,08NE058 is flow at the international border
44,Waneta Expansion,BC_WAX_GSS,BC,Hydro_daily,335,1,335,0.5673408840036196,1664.9185581970219,2.0,,,,,,,,,,,,,,,Columbia (U.S.),08NE058,Waneta,,,,,,,,,,,,,,,,,,,,,,,,08NE058 is flow at the international border
45,Whatshan,BC_WGS_GSS,BC,Hydro_daily,54,1,54,0.33115881848396755,156.65136749565602,1.0,,,,,,,,,,,,,,,Arrow,,Whatshan,,,634,641.3,639.58,,,,,121500000,4.020990368,3.460462234,3.582729238,5.312971413,12.9558639,19.9182626,15.31414213,9.437604857,6.021541079,5.956355139,5.752534845,4.266542204,,
46,Zeballos Lake,BC_ZBL_GSS,BC,Hydro_daily,21.85,1,21.85,0.5673280879387271,108.59,3.0,,1972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
