r,t,y,TotalCapacityAnnual
REGION1,DEMTRADSL,2043,26.4141
REGION1,DEMTRADSL,2044,22.6465
REGION1,DEMTRADSL,2045,18.8687
REGION1,DEMTRADSL,2046,15.101
REGION1,DEMTRADSL,2047,11.3232
REGION1,DEMTRADSL,2048,7.5455
REGION1,DEMTRADSL,2049,3.7778
REGION1,DEMTRAELCB02,2020,1.7911
REGION1,DEMTRAELCB02,2021,2.34
REGION1,DEMTRAELCB02,2022,3.0044
REGION1,DEMTRAELCB02,2023,3.8133
REGION1,DEMTRAELCB02,2024,4.7089
REGION1,DEMTRAELCB02,2025,5.8644
REGION1,DEMTRAELCB02,2026,46.3811
REGION1,DEMTRAELCB02,2027,55.4233
REGION1,DEMTRAELCB02,2028,64.4367
REGION1,DEMTRAELCB02,2029,73.3922
REGION1,DEMTRAELCB02,2030,82.3622
REGION1,DEMTRAELCB02,2031,91.3178
REGION1,DEMTRAELCB02,2032,100.3167
REGION1,DEMTRAELCB02,2033,109.2289
REGION1,DEMTRAELCB02,2034,118.0978
REGION1,DEMTRAELCB02,2035,126.9522
REGION1,DEMTRAELCB02,2036,135.7922
REGION1,DEMTRAELCB02,2037,144.6467
REGION1,DEMTRAELCB02,2038,153.4867
REGION1,DEMTRAELCB02,2039,162.3411
REGION1,DEMTRAELCB02,2040,171.21
REGION1,DEMTRAELCB02,2041,180.31
REGION1,DEMTRAELCB02,2042,189.2222
REGION1,DEMTRAELCB02,2043,198.1344
REGION1,DEMTRAELCB02,2044,207.0467
REGION1,DEMTRAELCB02,2045,215.9444
REGION1,DEMTRAELCB02,2046,224.8567
REGION1,DEMTRAELCB02,2047,233.7689
REGION1,DEMTRAELCB02,2048,242.6811
REGION1,DEMTRAELCB02,2049,251.5933
REGION1,DEMTRAELCB02,2050,237.0478
REGION1,DEMTRAGSL,2020,155.1313
REGION1,DEMTRAGSL,2021,152.4141
REGION1,DEMTRAGSL,2022,149.697
REGION1,DEMTRAGSL,2023,146.8283
REGION1,DEMTRAGSL,2024,144.1717
REGION1,DEMTRAGSL,2025,141.6768
REGION1,DEMTRAGSL,2026,136.0101
REGION1,DEMTRAGSL,2027,130.3434
REGION1,DEMTRAGSL,2028,124.6768
REGION1,DEMTRAGSL,2029,119.0101
REGION1,DEMTRAGSL,2030,113.3434
REGION1,DEMTRAGSL,2031,107.6768
REGION1,DEMTRAGSL,2032,102.0101
REGION1,DEMTRAGSL,2033,96.3434
REGION1,DEMTRAGSL,2034,90.6768
REGION1,DEMTRAGSL,2035,85.0101
REGION1,DEMTRAGSL,2036,79.3434
REGION1,DEMTRAGSL,2037,73.6768
REGION1,DEMTRAGSL,2038,68.0
REGION1,DEMTRAGSL,2039,62.3333
REGION1,DEMTRAGSL,2040,56.6667
REGION1,DEMTRAGSL,2041,51.0
REGION1,DEMTRAGSL,2042,45.3333
REGION1,DEMTRAGSL,2043,39.6667
REGION1,DEMTRAGSL,2044,34.0
REGION1,DEMTRAGSL,2045,28.3333
REGION1,DEMTRAGSL,2046,22.6667
REGION1,DEMTRAGSL,2047,17.0
REGION1,DEMTRAGSL,2048,11.3333
REGION1,DEMTRAGSL,2049,5.6667
REGION1,DEMTRAHFO,2020,10.798
REGION1,DEMTRAHFO,2021,10.5556
REGION1,DEMTRAHFO,2022,10.303
REGION1,DEMTRAHFO,2023,10.0606
REGION1,DEMTRAHFO,2024,9.8485
REGION1,DEMTRAHFO,2025,9.6869
REGION1,DEMTRAHFO,2026,9.5455
REGION1,DEMTRAHFO,2027,9.4242
REGION1,DEMTRAHFO,2028,9.2929
REGION1,DEMTRAHFO,2029,9.1515
REGION1,DEMTRAHFO,2030,9.0202
REGION1,DEMTRAHFO,2031,8.5657
REGION1,DEMTRAHFO,2032,8.1212
REGION1,DEMTRAHFO,2033,7.6667
REGION1,DEMTRAHFO,2034,7.2121
REGION1,DEMTRAHFO,2035,6.7677
REGION1,DEMTRAHFO,2036,6.3131
REGION1,DEMTRAHFO,2037,5.8586
REGION1,DEMTRAHFO,2038,5.4141
REGION1,DEMTRAHFO,2039,4.9596
REGION1,DEMTRAHFO,2040,4.5152
REGION1,DEMTRAHFO,2041,4.0606
REGION1,DEMTRAHFO,2042,3.6061
REGION1,DEMTRAHFO,2043,3.1616
REGION1,DEMTRAHFO,2044,2.7071
REGION1,DEMTRAHFO,2045,2.2525
REGION1,DEMTRAHFO,2046,1.8081
REGION1,DEMTRAHFO,2047,1.3535
REGION1,DEMTRAHFO,2048,0.899
REGION1,DEMTRAHFO,2049,0.4545
REGION1,DEMTRAJFL,2020,39.9394
REGION1,DEMTRAJFL,2021,39.2828
REGION1,DEMTRAJFL,2022,39.0
REGION1,DEMTRAJFL,2023,38.9192
REGION1,DEMTRAJFL,2024,39.1212
REGION1,DEMTRAJFL,2025,39.5657
REGION1,DEMTRAJFL,2026,40.0808
REGION1,DEMTRAJFL,2027,40.6162
REGION1,DEMTRAJFL,2028,41.0404
REGION1,DEMTRAJFL,2029,41.3737
REGION1,DEMTRAJFL,2030,41.7475
REGION1,DEMTRAJFL,2031,39.6566
REGION1,DEMTRAJFL,2032,37.5758
REGION1,DEMTRAJFL,2033,35.4848
REGION1,DEMTRAJFL,2034,33.3939
REGION1,DEMTRAJFL,2035,31.3131
REGION1,DEMTRAJFL,2036,29.2222
REGION1,DEMTRAJFL,2037,27.1313
REGION1,DEMTRAJFL,2038,25.0505
REGION1,DEMTRAJFL,2039,22.9596
REGION1,DEMTRAJFL,2040,20.8788
REGION1,DEMTRAJFL,2041,18.7879
REGION1,DEMTRAJFL,2042,16.697
REGION1,DEMTRAJFL,2043,14.6162
REGION1,DEMTRAJFL,2044,12.5253
REGION1,DEMTRAJFL,2045,10.4343
REGION1,DEMTRAJFL,2046,8.3535
REGION1,DEMTRAJFL,2047,6.2626
REGION1,DEMTRAJFL,2048,4.1717
REGION1,DEMTRAJFL,2049,2.0909
REGION1,DEMTRALPG,2020,2.6869
REGION1,DEMTRALPG,2021,2.7475
REGION1,DEMTRALPG,2022,2.8182
REGION1,DEMTRALPG,2023,2.8889
REGION1,DEMTRALPG,2024,2.9394
REGION1,DEMTRALPG,2025,2.9899
REGION1,DEMTRALPG,2026,3.0505
REGION1,DEMTRALPG,2027,3.101
REGION1,DEMTRALPG,2028,3.1616
REGION1,DEMTRALPG,2029,3.202
REGION1,DEMTRALPG,2030,3.2323
REGION1,DEMTRALPG,2031,3.2424
REGION1,DEMTRALPG,2032,3.2323
REGION1,DEMTRALPG,2033,3.1919
REGION1,DEMTRALPG,2034,3.1414
REGION1,DEMTRALPG,2035,3.0606
REGION1,DEMTRALPG,2036,2.9596
REGION1,DEMTRALPG,2037,2.8384
REGION1,DEMTRALPG,2038,2.7071
REGION1,DEMTRALPG,2039,2.5455
REGION1,DEMTRALPG,2040,2.3737
REGION1,DEMTRALPG,2041,2.6293
REGION1,DEMTRALPG,2042,2.5828
REGION1,DEMTRALPG,2043,2.5364
REGION1,DEMTRALPG,2044,2.4889
REGION1,DEMTRALPG,2045,2.4424
REGION1,DEMTRALPG,2046,2.396
REGION1,DEMTRALPG,2047,2.3495
REGION1,DEMTRALPG,2048,2.302
REGION1,DEMTRALPG,2049,2.2556
REGION1,DEMTRANGS,2020,1.8182
REGION1,DEMTRANGS,2021,2.0606
REGION1,DEMTRANGS,2022,2.6263
REGION1,DEMTRANGS,2023,2.8889
REGION1,DEMTRANGS,2024,3.202
REGION1,DEMTRANGS,2025,3.5859
REGION1,DEMTRANGS,2026,3.4444
REGION1,DEMTRANGS,2027,3.303
REGION1,DEMTRANGS,2028,3.1515
REGION1,DEMTRANGS,2029,3.0101
REGION1,DEMTRANGS,2030,2.8687
REGION1,DEMTRANGS,2031,2.7273
REGION1,DEMTRANGS,2032,2.5859
REGION1,DEMTRANGS,2033,2.4343
REGION1,DEMTRANGS,2034,2.2929
REGION1,DEMTRANGS,2035,2.1515
REGION1,DEMTRANGS,2036,2.0101
REGION1,DEMTRANGS,2037,1.8687
REGION1,DEMTRANGS,2038,1.7172
REGION1,DEMTRANGS,2039,1.5758
REGION1,DEMTRANGS,2040,1.4343
REGION1,DEMTRANGS,2041,1.2929
REGION1,DEMTRANGS,2042,1.1515
REGION1,DEMTRANGS,2043,1.0
REGION1,DEMTRANGS,2044,0.8586
REGION1,DEMTRANGS,2045,0.7172
REGION1,DEMTRANGS,2046,0.5758
REGION1,DEMTRANGS,2047,0.4343
REGION1,DEMTRANGS,2048,0.2828
REGION1,DEMTRANGS,2049,0.1556
REGION1,IMPDSL,2020,224.3939
REGION1,IMPDSL,2021,223.5636
REGION1,IMPDSL,2022,221.9263
REGION1,IMPDSL,2023,220.598
REGION1,IMPDSL,2024,220.9838
REGION1,IMPDSL,2025,221.9202
REGION1,IMPDSL,2026,218.7222
REGION1,IMPDSL,2027,215.4131
REGION1,IMPDSL,2028,211.5495
REGION1,IMPDSL,2029,207.0586
REGION1,IMPDSL,2030,202.6495
REGION1,IMPDSL,2031,192.5121
REGION1,IMPDSL,2032,182.3848
REGION1,IMPDSL,2033,172.2485
REGION1,IMPDSL,2034,162.1111
REGION1,IMPDSL,2035,151.995
REGION1,IMPDSL,2036,141.8576
REGION1,IMPDSL,2037,131.7212
REGION1,IMPDSL,2038,121.5939
REGION1,IMPDSL,2039,111.4566
REGION1,IMPDSL,2040,101.3202
REGION1,IMPDSL,2041,91.1929
REGION1,IMPDSL,2042,81.0566
REGION1,IMPDSL,2043,70.9192
REGION1,IMPDSL,2044,60.7919
REGION1,IMPDSL,2045,50.6657
REGION1,IMPDSL,2046,40.5384
REGION1,IMPDSL,2047,30.402
REGION1,IMPDSL,2048,20.2646
REGION1,IMPDSL,2049,10.1384
REGION1,IMPGSL,2020,155.1313
REGION1,IMPGSL,2021,152.4141
REGION1,IMPGSL,2022,149.697
REGION1,IMPGSL,2023,146.8283
REGION1,IMPGSL,2024,144.1717
REGION1,IMPGSL,2025,141.6768
REGION1,IMPGSL,2026,136.0101
REGION1,IMPGSL,2027,130.3434
REGION1,IMPGSL,2028,124.6768
REGION1,IMPGSL,2029,119.0101
REGION1,IMPGSL,2030,113.3434
REGION1,IMPGSL,2031,107.6768
REGION1,IMPGSL,2032,102.0101
REGION1,IMPGSL,2033,96.3434
REGION1,IMPGSL,2034,90.6768
REGION1,IMPGSL,2035,85.0101
REGION1,IMPGSL,2036,79.3434
REGION1,IMPGSL,2037,73.6768
REGION1,IMPGSL,2038,68.0
REGION1,IMPGSL,2039,62.3333
REGION1,IMPGSL,2040,56.6667
REGION1,IMPGSL,2041,51.0
REGION1,IMPGSL,2042,45.3333
REGION1,IMPGSL,2043,39.6667
REGION1,IMPGSL,2044,34.0
REGION1,IMPGSL,2045,28.3333
REGION1,IMPGSL,2046,22.6667
REGION1,IMPGSL,2047,17.0
REGION1,IMPGSL,2048,11.3333
REGION1,IMPGSL,2049,5.6667
REGION1,IMPHFO,2020,10.798
REGION1,IMPHFO,2021,10.5556
REGION1,IMPHFO,2022,10.303
REGION1,IMPHFO,2023,10.0606
REGION1,IMPHFO,2024,9.8485
REGION1,IMPHFO,2025,9.6869
REGION1,IMPHFO,2026,9.5455
REGION1,IMPHFO,2027,9.4242
REGION1,IMPHFO,2028,9.2929
REGION1,IMPHFO,2029,9.1515
REGION1,IMPHFO,2030,9.0202
REGION1,IMPHFO,2031,8.5657
REGION1,IMPHFO,2032,8.1212
REGION1,IMPHFO,2033,7.6667
REGION1,IMPHFO,2034,7.2121
REGION1,IMPHFO,2035,6.7677
REGION1,IMPHFO,2036,6.3131
REGION1,IMPHFO,2037,5.8586
REGION1,IMPHFO,2038,5.4141
REGION1,IMPHFO,2039,4.9596
REGION1,IMPHFO,2040,4.5152
REGION1,IMPHFO,2041,4.0606
REGION1,IMPHFO,2042,3.6061
REGION1,IMPHFO,2043,3.1616
REGION1,IMPHFO,2044,2.7071
REGION1,IMPHFO,2045,2.2525
REGION1,IMPHFO,2046,1.8081
REGION1,IMPHFO,2047,1.3535
REGION1,IMPHFO,2048,0.899
REGION1,IMPHFO,2049,0.4545
REGION1,IMPJFL,2020,39.9394
REGION1,IMPJFL,2021,39.2828
REGION1,IMPJFL,2022,39.0
REGION1,IMPJFL,2023,38.9192
REGION1,IMPJFL,2024,39.1212
REGION1,IMPJFL,2025,39.5657
REGION1,IMPJFL,2026,40.0808
REGION1,IMPJFL,2027,40.6162
REGION1,IMPJFL,2028,41.0404
REGION1,IMPJFL,2029,41.3737
REGION1,IMPJFL,2030,41.7475
REGION1,IMPJFL,2031,39.6566
REGION1,IMPJFL,2032,37.5758
REGION1,IMPJFL,2033,35.4848
REGION1,IMPJFL,2034,33.3939
REGION1,IMPJFL,2035,31.3131
REGION1,IMPJFL,2036,29.2222
REGION1,IMPJFL,2037,27.1313
REGION1,IMPJFL,2038,25.0505
REGION1,IMPJFL,2039,22.9596
REGION1,IMPJFL,2040,20.8788
REGION1,IMPJFL,2041,18.7879
REGION1,IMPJFL,2042,16.697
REGION1,IMPJFL,2043,14.6162
REGION1,IMPJFL,2044,12.5253
REGION1,IMPJFL,2045,10.4343
REGION1,IMPJFL,2046,8.3535
REGION1,IMPJFL,2047,6.2626
REGION1,IMPJFL,2048,4.1717
REGION1,IMPJFL,2049,2.0909
REGION1,IMPKER,2020,11.5253
REGION1,IMPKER,2021,11.7677
REGION1,IMPKER,2022,11.9798
REGION1,IMPKER,2023,12.1616
REGION1,IMPKER,2024,12.3232
REGION1,IMPKER,2025,12.4747
REGION1,IMPKER,2026,12.0202
REGION1,IMPKER,2027,11.5556
REGION1,IMPKER,2028,11.0909
REGION1,IMPKER,2029,10.6263
REGION1,IMPKER,2030,10.1616
REGION1,IMPKER,2031,9.7071
REGION1,IMPKER,2032,9.2424
REGION1,IMPKER,2033,8.7778
REGION1,IMPKER,2034,8.3131
REGION1,IMPKER,2035,7.8485
REGION1,IMPKER,2036,7.3838
REGION1,IMPKER,2037,6.9091
REGION1,IMPKER,2038,6.4444
REGION1,IMPKER,2039,5.9798
REGION1,IMPKER,2040,5.5051
REGION1,IMPKER,2041,4.1717
REGION1,IMPKER,2042,3.7071
REGION1,IMPKER,2043,3.2525
REGION1,IMPKER,2044,2.7879
REGION1,IMPKER,2045,2.3232
REGION1,IMPKER,2046,1.8586
REGION1,IMPKER,2047,1.3939
REGION1,IMPKER,2048,0.9293
REGION1,IMPKER,2049,0.4646
REGION1,IMPLPG,2020,2.6869
REGION1,IMPLPG,2021,2.7475
REGION1,IMPLPG,2022,2.8182
REGION1,IMPLPG,2023,2.8889
REGION1,IMPLPG,2024,2.9394
REGION1,IMPLPG,2025,2.9899
REGION1,IMPLPG,2026,3.0505
REGION1,IMPLPG,2027,3.101
REGION1,IMPLPG,2028,3.1616
REGION1,IMPLPG,2029,3.202
REGION1,IMPLPG,2030,3.2323
REGION1,IMPLPG,2031,3.2424
REGION1,IMPLPG,2032,3.2323
REGION1,IMPLPG,2033,3.1919
REGION1,IMPLPG,2034,3.1414
REGION1,IMPLPG,2035,3.0606
REGION1,IMPLPG,2036,2.9596
REGION1,IMPLPG,2037,2.8384
REGION1,IMPLPG,2038,2.7071
REGION1,IMPLPG,2039,2.5455
REGION1,IMPLPG,2040,2.3737
REGION1,IMPLPG,2041,2.6293
REGION1,IMPLPG,2042,2.5828
REGION1,IMPLPG,2043,2.5364
REGION1,IMPLPG,2044,2.4889
REGION1,IMPLPG,2045,2.4424
REGION1,IMPLPG,2046,2.396
REGION1,IMPLPG,2047,2.3495
REGION1,IMPLPG,2048,2.302
REGION1,IMPLPG,2049,2.2556
REGION1,LNDAGRBC1C01,2020,280.4271
REGION1,LNDAGRBC1C01,2021,280.4271
REGION1,LNDAGRBC1C01,2022,280.4271
REGION1,LNDAGRBC1C01,2023,280.4318
REGION1,LNDAGRBC1C01,2024,280.4367
REGION1,LNDAGRBC1C01,2025,280.4415
REGION1,LNDAGRBC1C01,2026,280.4465
REGION1,LNDAGRBC1C01,2027,280.4615
REGION1,LNDAGRBC1C01,2028,280.4615
REGION1,LNDAGRBC1C01,2029,280.4615
REGION1,LNDAGRBC1C01,2030,280.4667
REGION1,LNDAGRBC1C01,2031,280.4718
REGION1,LNDAGRBC1C01,2032,280.4772
REGION1,LNDAGRBC1C01,2033,280.4824
REGION1,LNDAGRBC1C01,2034,280.4878
REGION1,LNDAGRBC1C01,2035,280.4932
REGION1,LNDAGRBC1C01,2036,280.4987
REGION1,LNDAGRBC1C01,2037,280.5043
REGION1,LNDAGRBC1C01,2038,280.5099
REGION1,LNDAGRBC1C01,2039,280.5156
REGION1,LNDAGRBC1C01,2040,280.5213
REGION1,LNDAGRBC1C01,2041,280.5271
REGION1,LNDAGRBC1C01,2042,280.5449
REGION1,LNDAGRBC1C01,2043,280.5449
REGION1,LNDAGRBC1C01,2044,280.5449
REGION1,LNDAGRBC1C01,2045,280.5509
REGION1,LNDAGRBC1C01,2046,280.5571
REGION1,LNDAGRBC1C01,2047,280.5632
REGION1,LNDAGRBC1C01,2048,280.5695
REGION1,LNDAGRBC1C01,2049,280.5759
REGION1,LNDAGRBC1C01,2050,280.5822
REGION1,LNDAGRBC1C02,2020,27.1518
REGION1,LNDAGRBC1C02,2021,27.1518
REGION1,LNDAGRBC1C02,2022,27.1518
REGION1,LNDAGRBC1C02,2023,27.1518
REGION1,LNDAGRBC1C02,2024,27.155
REGION1,LNDAGRBC1C02,2025,27.1582
REGION1,LNDAGRBC1C02,2026,27.1615
REGION1,LNDAGRBC1C02,2027,27.1749
REGION1,LNDAGRBC1C02,2028,27.1749
REGION1,LNDAGRBC1C02,2029,27.1749
REGION1,LNDAGRBC1C02,2030,27.1749
REGION1,LNDAGRBC1C02,2031,27.1783
REGION1,LNDAGRBC1C02,2032,27.1818
REGION1,LNDAGRBC1C02,2033,27.1853
REGION1,LNDAGRBC1C02,2034,27.1888
REGION1,LNDAGRBC1C02,2035,27.1925
REGION1,LNDAGRBC1C02,2036,27.1961
REGION1,LNDAGRBC1C02,2037,27.1998
REGION1,LNDAGRBC1C02,2038,27.2035
REGION1,LNDAGRBC1C02,2039,27.2072
REGION1,LNDAGRBC1C02,2040,27.2111
REGION1,LNDAGRBC1C02,2041,27.2149
REGION1,LNDAGRBC1C02,2042,27.2307
REGION1,LNDAGRBC1C02,2043,27.2307
REGION1,LNDAGRBC1C02,2044,27.2307
REGION1,LNDAGRBC1C02,2045,27.2307
REGION1,LNDAGRBC1C02,2046,27.2347
REGION1,LNDAGRBC1C02,2047,27.2388
REGION1,LNDAGRBC1C02,2048,27.243
REGION1,LNDAGRBC1C02,2049,27.2471
REGION1,LNDAGRBC1C02,2050,27.2514
REGION1,LNDAGRBC1C03,2020,49.8499
REGION1,LNDAGRBC1C03,2021,55.1439
REGION1,LNDAGRBC1C03,2022,55.1439
REGION1,LNDAGRBC1C03,2023,56.1446
REGION1,LNDAGRBC1C03,2024,56.8007
REGION1,LNDAGRBC1C03,2025,56.8237
REGION1,LNDAGRBC1C03,2026,57.047
REGION1,LNDAGRBC1C03,2027,57.047
REGION1,LNDAGRBC1C03,2028,57.047
REGION1,LNDAGRBC1C03,2029,57.047
REGION1,LNDAGRBC1C03,2030,57.047
REGION1,LNDAGRBC1C03,2031,57.047
REGION1,LNDAGRBC1C03,2032,57.047
REGION1,LNDAGRBC1C03,2033,57.047
REGION1,LNDAGRBC1C03,2034,57.047
REGION1,LNDAGRBC1C03,2035,33.3493
REGION1,LNDAGRBC1C03,2036,32.5247
REGION1,LNDAGRBC1C03,2037,32.5247
REGION1,LNDAGRBC1C03,2038,32.177
REGION1,LNDAGRBC1C03,2039,31.8714
REGION1,LNDAGRBC1C03,2040,32.025
REGION1,LNDAGRBC1C03,2041,32.2698
REGION1,LNDAGRBC1C03,2042,32.491
REGION1,LNDAGRBC1C03,2043,32.7276
REGION1,LNDAGRBC1C03,2044,32.9388
REGION1,LNDAGRBC1C03,2045,33.1555
REGION1,LNDAGRBC1C03,2046,33.3671
REGION1,LNDAGRBC1C03,2047,33.5816
REGION1,LNDAGRBC1C03,2048,33.799
REGION1,LNDAGRBC1C03,2049,34.0096
REGION1,LNDAGRBC1C03,2050,34.2263
REGION1,LNDAGRBC1C04,2020,10.863
REGION1,LNDAGRBC1C04,2021,10.8714
REGION1,LNDAGRBC1C04,2022,10.8798
REGION1,LNDAGRBC1C04,2023,10.8883
REGION1,LNDAGRBC1C04,2024,10.8969
REGION1,LNDAGRBC1C04,2025,10.9055
REGION1,LNDAGRBC1C04,2026,10.9143
REGION1,LNDAGRBC1C04,2027,10.9231
REGION1,LNDAGRBC1C04,2028,10.9321
REGION1,LNDAGRBC1C04,2029,10.9411
REGION1,LNDAGRBC1C04,2030,10.9503
REGION1,LNDAGRBC1C04,2031,10.9596
REGION1,LNDAGRBC1C04,2032,10.9689
REGION1,LNDAGRBC1C04,2033,10.9784
REGION1,LNDAGRBC1C04,2034,10.988
REGION1,LNDAGRBC1C04,2035,10.9977
REGION1,LNDAGRBC1C04,2036,11.0075
REGION1,LNDAGRBC1C04,2037,11.0173
REGION1,LNDAGRBC1C04,2038,11.0273
REGION1,LNDAGRBC1C04,2039,11.0374
REGION1,LNDAGRBC1C04,2040,11.0477
REGION1,LNDAGRBC1C04,2041,11.058
REGION1,LNDAGRBC1C04,2042,11.0684
REGION1,LNDAGRBC1C04,2043,11.079
REGION1,LNDAGRBC1C04,2044,11.0897
REGION1,LNDAGRBC1C04,2045,11.1004
REGION1,LNDAGRBC1C04,2046,11.1113
REGION1,LNDAGRBC1C04,2047,11.1224
REGION1,LNDAGRBC1C04,2048,11.1336
REGION1,LNDAGRBC1C04,2049,11.1449
REGION1,LNDAGRBC1C04,2050,11.1563
REGION1,LNDAGRBC1C05,2020,549.411
REGION1,LNDAGRBC1C05,2021,549.411
REGION1,LNDAGRBC1C05,2022,549.411
REGION1,LNDAGRBC1C05,2023,549.411
REGION1,LNDAGRBC1C05,2024,549.411
REGION1,LNDAGRBC1C05,2025,549.411
REGION1,LNDAGRBC1C05,2026,549.411
REGION1,LNDAGRBC1C05,2027,554.2743
REGION1,LNDAGRBC1C05,2028,554.2743
REGION1,LNDAGRBC1C05,2029,554.2743
REGION1,LNDAGRBC1C05,2030,554.2743
REGION1,LNDAGRBC1C05,2031,554.2743
REGION1,LNDAGRBC1C05,2032,554.2743
REGION1,LNDAGRBC1C05,2033,554.2743
REGION1,LNDAGRBC1C05,2034,554.2743
REGION1,LNDAGRBC1C05,2035,565.6278
REGION1,LNDAGRBC1C05,2036,566.4304
REGION1,LNDAGRBC1C05,2037,566.5362
REGION1,LNDAGRBC1C05,2038,566.7334
REGION1,LNDAGRBC1C05,2039,567.0163
REGION1,LNDAGRBC1C05,2040,567.0163
REGION1,LNDAGRBC1C05,2041,567.0163
REGION1,LNDAGRBC1C05,2042,566.3033
REGION1,LNDAGRBC1C05,2043,566.3033
REGION1,LNDAGRBC1C05,2044,566.3033
REGION1,LNDAGRBC1C05,2045,566.3033
REGION1,LNDAGRBC1C05,2046,566.3033
REGION1,LNDAGRBC1C05,2047,566.3033
REGION1,LNDAGRBC1C05,2048,566.3033
REGION1,LNDAGRBC1C05,2049,566.3033
REGION1,LNDAGRBC1C05,2050,564.3944
REGION1,LNDAGRBC1C06,2020,3.4534
REGION1,LNDAGRBC1C06,2021,3.4539
REGION1,LNDAGRBC1C06,2022,3.4544
REGION1,LNDAGRBC1C06,2023,3.4549
REGION1,LNDAGRBC1C06,2024,3.4554
REGION1,LNDAGRBC1C06,2025,3.456
REGION1,LNDAGRBC1C06,2026,3.4566
REGION1,LNDAGRBC1C06,2027,3.4571
REGION1,LNDAGRBC1C06,2028,3.4576
REGION1,LNDAGRBC1C06,2029,3.4582
REGION1,LNDAGRBC1C06,2030,3.4587
REGION1,LNDAGRBC1C06,2031,3.4593
REGION1,LNDAGRBC1C06,2032,3.4598
REGION1,LNDAGRBC1C06,2033,3.4604
REGION1,LNDAGRBC1C06,2034,3.461
REGION1,LNDAGRBC1C06,2035,3.4615
REGION1,LNDAGRBC1C06,2036,3.4621
REGION1,LNDAGRBC1C06,2037,3.4627
REGION1,LNDAGRBC1C06,2038,3.4633
REGION1,LNDAGRBC1C06,2039,3.4639
REGION1,LNDAGRBC1C06,2040,3.4645
REGION1,LNDAGRBC1C06,2041,3.4651
REGION1,LNDAGRBC1C06,2042,3.4657
REGION1,LNDAGRBC1C06,2043,3.4665
REGION1,LNDAGRBC1C06,2044,3.4671
REGION1,LNDAGRBC1C06,2045,3.4677
REGION1,LNDAGRBC1C06,2046,3.4684
REGION1,LNDAGRBC1C06,2047,3.469
REGION1,LNDAGRBC1C06,2048,3.4697
REGION1,LNDAGRBC1C06,2049,3.4704
REGION1,LNDAGRBC1C06,2050,3.4711
REGION1,LNDAGRBC1C07,2020,13.1873
REGION1,LNDAGRBC1C07,2021,13.1894
REGION1,LNDAGRBC1C07,2022,13.1915
REGION1,LNDAGRBC1C07,2023,13.1937
REGION1,LNDAGRBC1C07,2024,13.1958
REGION1,LNDAGRBC1C07,2025,13.1981
REGION1,LNDAGRBC1C07,2026,13.2003
REGION1,LNDAGRBC1C07,2027,13.2025
REGION1,LNDAGRBC1C07,2028,13.2048
REGION1,LNDAGRBC1C07,2029,13.2072
REGION1,LNDAGRBC1C07,2030,13.2095
REGION1,LNDAGRBC1C07,2031,13.2118
REGION1,LNDAGRBC1C07,2032,13.2142
REGION1,LNDAGRBC1C07,2033,13.2166
REGION1,LNDAGRBC1C07,2034,13.219
REGION1,LNDAGRBC1C07,2035,13.2215
REGION1,LNDAGRBC1C07,2036,13.2239
REGION1,LNDAGRBC1C07,2037,13.2265
REGION1,LNDAGRBC1C07,2038,13.229
REGION1,LNDAGRBC1C07,2039,13.2316
REGION1,LNDAGRBC1C07,2040,13.2341
REGION1,LNDAGRBC1C07,2041,13.2368
REGION1,LNDAGRBC1C07,2042,13.2395
REGION1,LNDAGRBC1C07,2043,13.2421
REGION1,LNDAGRBC1C07,2044,13.2448
REGION1,LNDAGRBC1C07,2045,13.2476
REGION1,LNDAGRBC1C07,2046,13.2504
REGION1,LNDAGRBC1C07,2047,13.2531
REGION1,LNDAGRBC1C07,2048,13.2559
REGION1,LNDAGRBC1C07,2049,13.2589
REGION1,LNDAGRBC1C07,2050,13.2617
REGION1,LNDALFHIBC1,2020,0.52
REGION1,LNDALFHIBC1,2021,0.4853
REGION1,LNDALFHIBC1,2022,0.4507
REGION1,LNDALFHIBC1,2023,0.416
REGION1,LNDALFHIBC1,2024,0.3813
REGION1,LNDALFHIBC1,2025,0.5801
REGION1,LNDALFHIBC1,2026,0.7866
REGION1,LNDALFHIBC1,2027,0.9931
REGION1,LNDALFHIBC1,2028,1.1996
REGION1,LNDALFHIBC1,2029,1.3983
REGION1,LNDALFHIBC1,2030,1.6049
REGION1,LNDALFHIBC1,2031,1.8114
REGION1,LNDALFHIBC1,2032,2.0101
REGION1,LNDALFHIBC1,2033,2.2166
REGION1,LNDALFHIBC1,2034,2.4231
REGION1,LNDALFHIBC1,2035,9.9599
REGION1,LNDALFHIBC1,2036,10.6285
REGION1,LNDALFHIBC1,2037,10.8774
REGION1,LNDALFHIBC1,2038,11.1341
REGION1,LNDALFHIBC1,2039,11.3831
REGION1,LNDALFHIBC1,2040,11.3986
REGION1,LNDALFHIBC1,2041,11.4141
REGION1,LNDALFHIBC1,2042,11.4297
REGION1,LNDALFHIBC1,2043,11.4375
REGION1,LNDALFHIBC1,2044,11.453
REGION1,LNDALFHIBC1,2045,11.4685
REGION1,LNDALFHIBC1,2046,11.4763
REGION1,LNDALFHIBC1,2047,11.4918
REGION1,LNDALFHIBC1,2048,11.5074
REGION1,LNDALFHIBC1,2049,11.5229
REGION1,LNDALFHIBC1,2050,11.5307
REGION1,LNDALFHRBC1,2020,2.5764
